Titulo,Oferta,Preco padrao,Porcentagem do desconto
Sid Meiers Civilization VI: Platinum Edition,7.89,79.99,90.136267
Sid Meiers Civilization VI Anthology,12.49,99.99,87.508751
Tennis World Tour Legends Edition,8.93,69.98,87.239211
Rims Racing : Ultimate Edition,6.95,69.50,90.000000
Them's Fightin' Herds,0.00,19.99,100.000000
Painkiller Complete Pack,6.99,69.99,90.012859
Watch_Dogs 2 Gold Edition,11.00,79.99,86.248281
Sid Meiers Civilization VI,2.39,59.99,96.016003
DEATHLOOP - Deluxe Edition,13.60,79.99,82.997875
Dishonored Complete Collection,13.60,79.99,82.997875
Assassin's Creed Odyssey - Deluxe Edition,11.73,79.99,85.335667
Assassins Creed Odyssey Gold Edition,13.75,99.99,86.248625
Far Cry 5 and Far Cry New Dawn Deluxe Edition Bundle,13.75,99.99,86.248625
Assassins Creed Origins Gold Edition,13.88,99.99,86.118612
Darksiders Blades and Whip Franchise Pack,14.49,79.99,81.885236
Sid Meiers Civilization VI Anthology,26.76,209.85,87.248034
BioShock Infinite,4.49,29.99,85.028343
Assassins Creed Odyssey Ultimate Edition,16.69,119.99,86.090508
Red Dead Redemption 2: Ultimate Edition,20.00,99.99,79.998000
Amnesia: The Dark Descent,0.99,19.99,95.047524
Far Cry 5 Gold Edition and Far Cry New Dawn Deluxe Edition Bundle,17.86,129.99,86.260482
Deus Ex: Human Revolution - Director's Cut,2.39,19.99,88.044022
Destiny 2: The Witch Queen,3.00,29.99,89.996666
DEATHLOOP - Deluxe Edition,15.99,79.99,80.010001
The Quarry Deluxe Edition,9.19,69.99,86.869553
The Quarry Deluxe Edition,9.24,69.99,86.798114
Assassins Creed Valhalla Deluxe Edition,14.75,79.99,81.560195
Tom Clancy's Ghost Recon Wildlands Gold Year 2 Edition,14.85,79.99,81.435179
Endless Space 2: Definitive Edition,18.99,94.99,80.008422
Dishonored 2,2.55,29.99,91.497166
Hitman: Blood Money,1.00,9.99,89.989990
Far Cry 5 Gold Edition,16.75,89.99,81.386821
Tom Clancys Ghost Recon Breakpoint Gold Edition,17.99,99.99,82.008201
Watch Dogs: Legion Gold Edition,17.99,99.99,82.008201
Assassins Creed Valhalla - Ragnark Edition,17.99,99.99,82.008201
Joe Danger 2: The Movie,1.50,14.99,89.993329
Dishonored 2,2.99,29.99,90.030010
Deus Ex: Human Revolution - Director's Cut,3.00,19.99,84.992496
Steel Division 2 - Total Conflict Edition,18.39,79.99,77.009626
SteamWorld Dig 2,1.70,19.99,91.495748
Freedom Fighters,1.50,14.99,89.993329
The Last Campfire,1.50,14.99,89.993329
WRC 9 FIA World Rally Championship,2.34,29.99,92.197399
Shadow Tactics: Blades of the Shogun,3.99,39.99,90.022506
Tom Clancys Ghost Recon Breakpoint Ultimate Edition,21.99,119.99,81.673473
Watch Dogs: Legion Ultimate Edition,21.99,119.99,81.673473
Hitman Absolution,2.00,19.99,89.994997
Sid Meier's Civilization IV: Colonization,1.99,19.95,90.025063
Thief: Deadly Shadows,0.99,8.99,88.987764
One Punch Man: A Hero Nobody Knows Deluxe Edition,7.08,79.99,91.148894
Destiny 2: Shadowkeep,2.00,19.99,89.994997
Syberia,1.29,12.99,90.069284
Tom Clancys Ghost Recon Wildlands Ultimate Edition,22.79,119.99,81.006751
Thief II: The Metal Age,0.98,6.99,85.979971
ONE PIECE World Seeker Deluxe Edition,8.10,89.99,90.999000
Far Cry 6 - Deluxe Edition,17.99,79.99,77.509689
Riders Republic 360 Edition,17.99,79.99,77.509689
The Caligula Effect: Overdose Digital Limited Edition,18.98,79.07,75.995953
Wolfenstein II: The New Colossus,5.10,39.99,87.246812
Marvels Midnight Suns Digital Edition,13.99,79.99,82.510314
